as_of,e_k10,e_k15,e_k20,e_k25,e_k50,oracle_e,oracle_k,k50_minus_k10,S1_disp_5d,S2_disp_20d,S3_idx_mom,S4_idx_vol,S5_xs_mom
2025-07-04,-0.0346113367139894,-0.034477284578966705,-0.037062012359525706,-0.0217751535731306,-0.014862301045216901,-0.014862301045216901,50,0.0197490356687725,0.04479585403978828,0.0836274890880185,0.02592068347564891,0.008070298695653559,0.5756250937619967
2025-07-11,0.0059846068415636,0.0034839605225364997,0.0052086440587237985,-0.0087100722626229,-0.0044670423403982,0.0059846068415636,10,-0.0104516491819618,0.041324582543986015,0.08155581447763899,0.0499698618873079,0.007785271686783044,0.46511339615918224
2025-07-18,0.002754208638221803,0.003437765051667499,0.0012477983487640051,-0.005159718858242599,-0.002357839040731797,0.003437765051667499,15,-0.0051120476789536,0.0472047296873047,0.09624745642637807,0.08158452689088569,0.0067601721636434365,0.5741165292165881
2025-07-25,-0.0007783482357847007,-0.014608386564629101,-0.002268474458593902,0.006735206337458099,0.0063374832368768,0.006735206337458099,25,0.007115831472661501,0.06096714934642765,0.10611444226221325,0.07433206315163332,0.0061969078832252705,0.694599785320259
2025-08-01,0.0188021936850082,0.014775680798049199,0.018488229710765202,0.0186669604156765,0.013461788725907201,0.0188021936850082,10,-0.005340404959101,0.04424719398945054,0.10226469274173436,0.05104784202143797,0.00718408734560952,0.40475681471355923
2025-08-08,0.04878427447978789,0.050566517153115595,0.0464279326159483,0.044433014986901,0.033206971340609,0.050566517153115595,15,-0.015577303139178891,0.046291503290041884,0.11228656461200462,0.049181535533216136,0.006929690002059141,0.5284405534189126
2025-08-15,-0.0353589280940732,-0.015495963283258102,-0.021894996175440003,-0.007010367122039403,-0.006650532461368999,-0.006650532461368999,50,0.0287083956327042,0.06539794226333076,0.11995300056503858,0.07688360403370043,0.009067305453032231,0.6337655478407683
2025-08-22,-0.0014061047652150008,-0.0018747787485897983,0.002056234697881097,0.006212358357279103,0.008477201124378601,0.008477201124378601,50,0.009883305889593602,0.05368424495052701,0.11567548233226758,0.08306190036781746,0.009650772351510864,0.4978148212295174
2025-08-29,0.0382272006908283,0.0317004003572963,0.035608280866856606,0.012744499785910102,0.016544818502554202,0.0382272006908283,10,-0.021682382188274098,0.0682973658897391,0.14007599483458963,0.13370579834774388,0.010440610690561082,0.7025465555109788
2025-09-05,0.011672494720544095,0.018356762225816795,0.0076254320266820955,0.010334644896001395,0.011994671411815198,0.018356762225816795,15,0.00032217669127110327,0.07482186348780938,0.15135926795135493,0.093374397090219,0.015584493622399389,0.5149554612938891
