as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.07251750441573494,-0.002212390893679951,0.019562762679450785,-0.021775153573130736,25,0.04,"688295,688702,688520,688192,688183",{}
2025-07-11,2025-07-14,2025-07-18,0.08219178931385288,0.003324115442565754,0.012034187705188604,-0.00871007226262285,25,0.04,"688192,688248,688702,600884,688183",{}
2025-07-18,2025-07-21,2025-07-25,0.058072711163158396,0.02762614777913262,0.03278586663737526,-0.005159718858242641,25,0.04,"688525,003035,300888,601231,688520",{}
2025-07-25,2025-07-28,2025-08-01,0.05203972638853786,-0.006978382370126327,-0.013713588707584434,0.006735206337458107,25,0.04,"688520,600487,688336,600927,688183",{}
2025-08-01,2025-08-04,2025-08-08,0.07731624605561911,0.03641932348907451,0.017752363073398003,0.018666960415676503,25,0.04,"688166,688520,000629,600606,000657",{}
2025-08-08,2025-08-11,2025-08-15,0.11425562312780116,0.08318845105869666,0.03875543607179566,0.044433014986901,25,0.04,"688520,688266,688018,002821,688615",{}
2025-08-15,2025-08-18,2025-08-22,0.08976942768060112,0.0317007983218853,0.03871116544392472,-0.007010367122039424,25,0.04,"688425,600528,688192,688166,688336",{}
2025-08-22,2025-08-25,2025-08-29,0.12365989631882619,0.038617452594333065,0.032405094237053955,0.00621235835727911,25,0.04,"002265,688281,600967,002773,002837",{}
2025-08-29,2025-09-01,2025-09-05,0.06814778854472266,-0.005709513606022992,-0.01845401339193309,0.012744499785910097,25,0.04,"688192,688709,002126,688615,688676",{}
2025-09-05,2025-09-08,2025-09-12,0.06532580192481716,0.04414974314731992,0.033815098251318565,0.010334644896001353,25,0.04,"002773,002265,600208,688297,300570",{}
2025-09-12,2025-09-15,2025-09-19,-0.02119088568036396,0.01739734051149264,0.0031618345859654173,0.014235505925527223,25,0.04,"688213,000519,688017,688166,603920",{}
2025-09-19,2025-09-22,2025-09-26,0.06749417168310666,-0.015954678916501777,0.009840804122644542,-0.02579548303914632,25,0.04,"688234,601099,300763,300115,688629",{}
2025-09-26,2025-09-29,2025-10-13,0.16255574084246235,-0.004461459416524913,0.018734244903714448,-0.02319570432023936,25,0.04,"000559,300763,688234,688166,603228",{}
2025-10-13,2025-10-14,2025-10-20,0.11726384963317682,-0.054671888592586405,-0.041607854280122925,-0.01306403431246348,25,0.04,"603228,300857,601212,002080,600580",{}
2025-10-20,2025-10-21,2025-10-27,-0.13536049416389279,0.08288751065236728,0.04381453032763627,0.03907298032473101,25,0.04,"002402,301200,688019,688027,605358",{}
2025-10-27,2025-10-28,2025-11-03,-0.14972346024089878,-0.00095677626806319,-0.006205523109350297,0.005248746841287107,25,0.04,"300972,605358,002402,002409,000021",{}
2025-11-03,2025-11-04,2025-11-10,0.07958255852426176,-0.017740172794101467,0.0013909946832395548,-0.019131167477341022,25,0.04,"688336,001221,300390,300136,000021",{}
2025-11-10,2025-11-11,2025-11-17,-0.021497536257676853,-0.028348498799049104,-0.014767691176859055,-0.01358080762219005,25,0.04,"601179,603766,688122,300857,300223",{}
2025-11-17,2025-11-18,2025-11-24,-0.03492674521778771,-0.07487171301712275,-0.05063817912911195,-0.024233533888010805,25,0.04,"688778,301200,688266,603659,002340",{}
2025-11-24,2025-11-25,2025-12-01,-0.1083063517333406,0.04362981272575492,0.033901172316182615,0.009728640409572303,25,0.04,"300390,300058,601179,601611,300207",{}
2025-12-01,2025-12-02,2025-12-08,-0.07722612973283041,0.0028499859434399167,0.009931944320845654,-0.007081958377405737,25,0.04,"300339,688676,300037,300390,300058",{}
2025-12-08,2025-12-09,2025-12-15,-0.005405730904265221,-0.01495396325687926,-0.008143057933315379,-0.006810905323563881,25,0.04,"003031,002738,002153,300223,300058",{}
2025-12-15,2025-12-16,2025-12-22,0.08621994200960653,0.027395947808805936,0.019918436449337218,0.007477511359468718,25,0.04,"300285,603650,300390,002595,000878",{}
2025-12-22,2025-12-23,2025-12-29,0.07595758867217284,0.07343985656959374,0.02411275830003623,0.049327098269557515,25,0.04,"300285,600118,002402,000878,002340",{}
2025-12-29,2025-12-30,2026-01-07,0.173784036545139,0.14661703628710096,0.05981564110103954,0.08680139518606142,25,0.04,"300285,300136,300058,000426,000960",{}
2026-01-07,2026-01-08,2026-01-14,0.2835388816240355,0.031089100780351386,0.04477604169708971,-0.013686940916738322,25,0.04,"000559,688037,601168,002281,000878",{}
2026-01-14,2026-01-15,2026-01-21,0.172881804826165,0.04157842105399798,0.013663118610225844,0.027915302443772133,25,0.04,"688281,688375,002281,688318,300724",{}
2026-01-21,2026-01-22,2026-01-28,0.16836072397885207,0.08543922234520888,0.03130065503908663,0.05413856730612225,25,0.04,"688281,688375,002281,002837,000060",{}
2026-01-28,2026-01-29,2026-02-04,0.12102600225470464,-0.04435473468179277,-0.0351239669421487,-0.009230767739644069,25,0.04,"300346,688002,688702,300115,688375",{}
2026-02-04,2026-02-05,2026-02-11,-0.12786649376017536,0.004281423650402192,0.0032237397574204074,0.0010576838929817842,25,0.04,"688248,600378,000739,688120,688692",{}
2026-02-11,2026-02-12,2026-02-26,-0.2111949254255589,0.053516028178146345,0.027793688807012495,0.02572233937113385,25,0.04,"002837,688361,002851,000415,000703",{}
2026-02-26,2026-02-27,2026-03-05,0.08021194164769616,-0.04079159069203435,-0.028986647059043524,-0.011804943632990825,25,0.04,"688002,002851,688347,002738,605358",{}
2026-03-05,2026-03-06,2026-03-12,0.1574291690470544,-0.014295559935584222,0.006053672502347007,-0.020349232437931228,25,0.04,"300395,300604,002851,002080,605358",{}
2026-03-12,2026-03-13,2026-03-19,-0.06698237124882331,-0.05248714104191582,-0.05770484068850279,0.005217699646586971,25,0.04,"002261,300058,603920,003031,600312",{}
2026-03-19,2026-03-20,2026-03-26,-0.16263343097702038,0.00992962839502928,-0.029828274146924794,0.03975790254195408,25,0.04,"300058,600032,603225,000703,300487",{}
2026-03-26,2026-03-27,2026-04-02,-0.21941878253031483,-0.0185918434319263,-0.00482025299229405,-0.013771590439632251,25,0.04,"688172,000703,688520,603606,002353",{}
2026-04-02,2026-04-03,2026-04-10,-0.10409428811680224,0.07644494636055414,0.04787087098419485,0.028574075376359295,25,0.04,"600563,600299,301200,688336,600580",{}
2026-04-10,2026-04-13,2026-04-17,0.08152102841714397,0.07376945103455332,0.03072126825663024,0.04304818277792308,25,0.04,"000657,000830,688568,600673,300223",{}
