as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.07251750441573494,-0.014914521899516088,0.019562762679450785,-0.03447728457896687,15,0.06666666666666667,"688295,688702,688520,688192,688183",{}
2025-07-11,2025-07-14,2025-07-18,0.08219178931385288,0.01551814822772517,0.012034187705188604,0.0034839605225365656,15,0.06666666666666667,"688192,688248,688702,600884,688183",{}
2025-07-18,2025-07-21,2025-07-25,0.058072711163158396,0.0362236316890427,0.03278586663737526,0.0034377650516674366,15,0.06666666666666667,"688525,003035,300888,601231,688520",{}
2025-07-25,2025-07-28,2025-08-01,0.05203972638853786,-0.028321975272213532,-0.013713588707584434,-0.014608386564629098,15,0.06666666666666667,"688520,600487,688336,600927,688183",{}
2025-08-01,2025-08-04,2025-08-08,0.07731624605561911,0.03252804387144721,0.017752363073398003,0.01477568079804921,15,0.06666666666666667,"688166,688520,000629,600606,000657",{}
2025-08-08,2025-08-11,2025-08-15,0.11425562312780116,0.08932195322491128,0.03875543607179566,0.05056651715311562,15,0.06666666666666667,"688520,688266,688018,002821,688615",{}
2025-08-15,2025-08-18,2025-08-22,0.08976942768060112,0.023215202160666616,0.03871116544392472,-0.015495963283258106,15,0.06666666666666667,"688425,600528,688192,688166,688336",{}
2025-08-22,2025-08-25,2025-08-29,0.12365989631882619,0.030530315488464153,0.032405094237053955,-0.0018747787485898018,15,0.06666666666666667,"002265,688281,600967,002773,002837",{}
2025-08-29,2025-09-01,2025-09-05,0.06814778854472266,0.01324638696536337,-0.01845401339193309,0.03170040035729646,15,0.06666666666666667,"688192,688709,002126,688615,688676",{}
2025-09-05,2025-09-08,2025-09-12,0.06532580192481716,0.05217186047713533,0.033815098251318565,0.018356762225816767,15,0.06666666666666667,"002773,002265,600208,688297,300570",{}
2025-09-12,2025-09-15,2025-09-19,-0.02119088568036396,0.02669364745539994,0.0031618345859654173,0.023531812869434524,15,0.06666666666666667,"688213,000519,688017,688166,603920",{}
2025-09-19,2025-09-22,2025-09-26,0.06749417168310666,-0.010059545587963523,0.009840804122644542,-0.019900349710608063,15,0.06666666666666667,"688234,601099,300763,300115,688629",{}
2025-09-26,2025-09-29,2025-10-13,0.16255574084246235,-0.03081045451621725,0.018734244903714448,-0.0495446994199317,15,0.06666666666666667,"000559,300763,688234,688166,603228",{}
2025-10-13,2025-10-14,2025-10-20,0.11726384963317682,-0.037946163269514235,-0.041607854280122925,0.003661691010608689,15,0.06666666666666667,"603228,300857,601212,002080,600580",{}
2025-10-20,2025-10-21,2025-10-27,-0.13536049416389279,0.09911475628067186,0.04381453032763627,0.05530022595303559,15,0.06666666666666667,"002402,301200,688019,688027,605358",{}
2025-10-27,2025-10-28,2025-11-03,-0.14972346024089878,0.006420913405461819,-0.006205523109350297,0.012626436514812116,15,0.06666666666666667,"300972,605358,002402,002409,000021",{}
2025-11-03,2025-11-04,2025-11-10,0.07958255852426176,-0.024020839829085504,0.0013909946832395548,-0.02541183451232506,15,0.06666666666666667,"688336,001221,300390,300136,000021",{}
2025-11-10,2025-11-11,2025-11-17,-0.021497536257676853,-0.04066882655812249,-0.014767691176859055,-0.025901135381263436,15,0.06666666666666667,"601179,603766,688122,300857,300223",{}
2025-11-17,2025-11-18,2025-11-24,-0.03492674521778771,-0.07660561559372252,-0.05063817912911195,-0.02596743646461057,15,0.06666666666666667,"688778,301200,688266,603659,002340",{}
2025-11-24,2025-11-25,2025-12-01,-0.1083063517333406,0.0480368872404751,0.033901172316182615,0.014135714924292483,15,0.06666666666666667,"300390,300058,601179,601611,300207",{}
2025-12-01,2025-12-02,2025-12-08,-0.07722612973283041,-0.0059533207267812825,0.009931944320845654,-0.015885265047626936,15,0.06666666666666667,"300339,688676,300037,300390,300058",{}
2025-12-08,2025-12-09,2025-12-15,-0.005405730904265221,-0.0064733694389847675,-0.008143057933315379,0.001669688494330611,15,0.06666666666666667,"003031,002738,002153,300223,300058",{}
2025-12-15,2025-12-16,2025-12-22,0.08621994200960653,0.026979951391347085,0.019918436449337218,0.007061514942009867,15,0.06666666666666667,"300285,603650,300390,002595,000878",{}
2025-12-22,2025-12-23,2025-12-29,0.07595758867217284,0.09689963904479512,0.02411275830003623,0.07278688074475889,15,0.06666666666666667,"300285,600118,002402,000878,002340",{}
2025-12-29,2025-12-30,2026-01-07,0.173784036545139,0.171708795530503,0.05981564110103954,0.11189315442946346,15,0.06666666666666667,"300285,300136,300058,000426,000960",{}
2026-01-07,2026-01-08,2026-01-14,0.2835388816240355,0.04014903153258333,0.04477604169708971,-0.004627010164506375,15,0.06666666666666667,"000559,688037,601168,002281,000878",{}
2026-01-14,2026-01-15,2026-01-21,0.172881804826165,0.01527517040861735,0.013663118610225844,0.0016120517983915054,15,0.06666666666666667,"688281,688375,002281,688318,300724",{}
2026-01-21,2026-01-22,2026-01-28,0.16836072397885207,0.053533819414966946,0.03130065503908663,0.022233164375880313,15,0.06666666666666667,"688281,688375,002281,002837,000060",{}
2026-01-28,2026-01-29,2026-02-04,0.12102600225470464,-0.0400390452248999,-0.0351239669421487,-0.004915078282751201,15,0.06666666666666667,"300346,688002,688702,300115,688375",{}
2026-02-04,2026-02-05,2026-02-11,-0.12786649376017536,0.005297780717088463,0.0032237397574204074,0.002074040959668055,15,0.06666666666666667,"688248,600378,000739,688120,688692",{}
2026-02-11,2026-02-12,2026-02-26,-0.2111949254255589,0.04317159556302573,0.027793688807012495,0.015377906756013235,15,0.06666666666666667,"002837,688361,002851,000415,000703",{}
2026-02-26,2026-02-27,2026-03-05,0.08021194164769616,-0.04796244821721384,-0.028986647059043524,-0.018975801158170318,15,0.06666666666666667,"688002,002851,688347,002738,605358",{}
2026-03-05,2026-03-06,2026-03-12,0.1574291690470544,-0.022217905437059184,0.006053672502347007,-0.02827157793940619,15,0.06666666666666667,"300395,300604,002851,002080,605358",{}
