as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.034726112306093904,0.01052432177032854,0.019562762679450785,-0.009038440909122245,10,0.1,"688520,688192,301536,688336,002080",{}
2025-07-11,2025-07-14,2025-07-18,0.06101697488612039,0.031972401864956417,0.012034187705188604,0.019938214159767813,10,0.1,"600562,688183,002281,688349,002583",{}
2025-07-18,2025-07-21,2025-07-25,0.06460832724932553,0.034890067634719565,0.03278586663737526,0.002104200997344305,10,0.1,"688525,603486,002558,688100,688819",{}
2025-07-25,2025-07-28,2025-08-01,0.09940142260674283,-0.019128293663997934,-0.013713588707584434,-0.0054147049564135,10,0.1,"688520,688425,002558,600606,600927",{}
2025-08-01,2025-08-04,2025-08-08,0.07889910790172994,0.027893648359139666,0.017752363073398003,0.010141285285741663,10,0.1,"688425,002130,688520,600927,688166",{}
2025-08-08,2025-08-11,2025-08-15,0.09955994359540118,0.06677589355784301,0.03875543607179566,0.028020457486047354,10,0.1,"688018,688266,002410,600927,688520",{}
2025-08-15,2025-08-18,2025-08-22,0.11396222903750397,0.05585212086846594,0.03871116544392472,0.01714095542454122,10,0.1,"688425,300390,688347,601699,688702",{}
2025-08-22,2025-08-25,2025-08-29,0.14668934627055383,0.026298438360929856,0.032405094237053955,-0.006106655876124099,10,0.1,"600967,002126,002080,688778,301200",{}
2025-08-29,2025-09-01,2025-09-05,0.07645777926345271,-0.0016736120379798082,-0.01845401339193309,0.01678040135395328,10,0.1,"300570,600208,688281,688166,688615",{}
2025-09-05,2025-09-08,2025-09-12,0.05658155639519517,0.06186689156437835,0.033815098251318565,0.028051793313059785,10,0.1,"688297,002265,001389,600498,002281",{}
2025-09-12,2025-09-15,2025-09-19,-0.07717676318814747,0.024963666545802777,0.0031618345859654173,0.02180183195983736,10,0.1,"002138,600673,300395,300570,002558",{}
2025-09-19,2025-09-22,2025-09-26,0.0684359793437087,-0.03075300242254836,0.009840804122644542,-0.0405938065451929,10,0.1,"688234,688295,002821,688629,601099",{}
2025-09-26,2025-09-29,2025-10-13,0.1777350843817152,0.00859063910014345,0.018734244903714448,-0.010143605803570998,10,0.1,"300763,688234,688615,002080,000559",{}
2025-10-13,2025-10-14,2025-10-20,0.11769902520950229,-0.043550860866601475,-0.041607854280122925,-0.0019430065864785503,10,0.1,"601212,603228,002080,003021,688322",{}
2025-10-20,2025-10-21,2025-10-27,-0.14406040533313266,0.08216641612032682,0.04381453032763627,0.038351885792690554,10,0.1,"688234,688183,301536,688582,600021",{}
2025-10-27,2025-10-28,2025-11-03,-0.18043410306556656,-0.002945890549291775,-0.006205523109350297,0.0032596325600585223,10,0.1,"601611,601212,002335,002065,600699",{}
2025-11-03,2025-11-04,2025-11-10,0.0872912212836165,-0.02830717202254275,0.0013909946832395548,-0.029698166705782306,10,0.1,"688122,688172,000021,001221,002837",{}
2025-11-10,2025-11-11,2025-11-17,-0.05997782428730965,-0.03136621724923599,-0.014767691176859055,-0.016598526072376933,10,0.1,"002837,688608,002126,003021,300857",{}
